,community.type,Day,method,Treatment,Df,mean.sq,Fs,ps,qs
187,PICRUSTs2,day4,bray,leucine,1,0.009094796,3.066903402,0.08149837,0.121704233
188,PICRUSTs2,day4,bray,citrate,1,0.18189133,39.89870162,2.00E-05,5.53E-05
189,PICRUSTs2,day4,jaccard,all,7,0.047192365,6.48645435,2.00E-05,5.53E-05
190,PICRUSTs2,day4,jaccard,glucose,1,0.00127529,0.144895,0.706065879,0.756740463
191,PICRUSTs2,day4,jaccard,leucine,1,0.017102282,2.857864291,0.090898182,0.133079691
192,PICRUSTs2,day4,jaccard,citrate,1,0.339246821,39.02327774,2.00E-05,5.53E-05
193,PICRUSTs2,day6,bray,all,7,0.023415314,3.367389136,0.00197996,0.00426453
194,PICRUSTs2,day6,bray,glucose,1,0.036790246,5.849662694,0.016199676,0.028572657
195,PICRUSTs2,day6,bray,leucine,1,0.008074578,1.047252778,0.306533869,0.383595457
196,PICRUSTs2,day6,bray,citrate,1,0.004607833,0.594929538,0.440571189,0.51399972
197,PICRUSTs2,day6,jaccard,all,7,0.052994006,3.892497644,0.00049999,0.001191466
198,PICRUSTs2,day6,jaccard,glucose,1,0.056053041,5.632500355,0.018739625,0.032540124
199,PICRUSTs2,day6,jaccard,leucine,1,0.016338512,1.311120837,0.253194936,0.322528095
200,PICRUSTs2,day6,jaccard,citrate,1,0.011805543,0.870875069,0.351652967,0.425519232
201,PICRUSTs2,day8,bray,all,7,0.026214873,2.652718516,0.010639787,0.019376523
202,PICRUSTs2,day8,bray,glucose,1,0.00718389,0.905414016,0.344713106,0.425519232
203,PICRUSTs2,day8,bray,leucine,1,0.042663082,3.621363368,0.056658867,0.088752351
204,PICRUSTs2,day8,bray,citrate,1,0.009431964,0.860548922,0.353332933,0.425519232
205,PICRUSTs2,day8,jaccard,all,7,0.057987497,3.095721202,0.003279934,0.006679139
206,PICRUSTs2,day8,jaccard,glucose,1,0.011101605,0.879447033,0.349813004,0.425519232
207,PICRUSTs2,day8,jaccard,leucine,1,0.053674069,2.854796253,0.093678126,0.135380002
208,PICRUSTs2,day8,jaccard,citrate,1,0.011170133,0.59653612,0.440331193,0.51399972
209,PICRUSTs2,day10,bray,all,7,0.053665714,6.275420947,2.00E-05,5.53E-05
